Period,Year,Month,Quarter,Channel,Spend,Impressions,Clicks,Conversions,Revenue_Attributed,ROAS
2015-07,2015,7,3,Organic,3546.34,0,1773,43,9760.95,2.752
2015-07,2015,7,3,Display,5691.69,1422922,7114,71,13221.64,2.323
2015-07,2015,7,3,Direct,1447.52,0,723,85,16441.34,11.358
2015-08,2015,8,3,Paid Search,13359.75,1669968,58448,1870,381834.05,28.581
2015-08,2015,8,3,Social Media,9040.74,1506790,27122,492,92310.97,10.211
2015-08,2015,8,3,Email,2363.3,0,1181,54,12202.19,5.163
2015-08,2015,8,3,Organic,3296.94,0,1648,36,6638.04,2.013
2015-08,2015,8,3,Display,5988.45,1497112,7485,74,14867.97,2.483
2015-08,2015,8,3,Direct,1317.5,0,658,78,21532.89,16.344
2015-09,2015,9,3,Paid Search,13835.51,1729438,60530,1937,398933.24,28.834
2015-09,2015,9,3,Social Media,9921.94,1653656,29765,539,100959.1,10.175
2015-09,2015,9,3,Email,2446.08,0,1223,55,10945.59,4.475
2015-09,2015,9,3,Organic,3787.82,0,1893,48,12275.09,3.241
2015-09,2015,9,3,Display,6185.92,1546480,7732,77,19391.15,3.135
2015-09,2015,9,3,Direct,1463.02,0,731,89,21952.74,15.005
2015-10,2015,10,4,Paid Search,12570.92,1571365,54997,1760,452606.34,36.004
2015-10,2015,10,4,Social Media,9172.87,1528811,27518,494,89366.5,9.742
2015-10,2015,10,4,Email,2624.91,0,1312,60,12172.06,4.637
2015-10,2015,10,4,Organic,3740.79,0,1870,44,9335.35,2.496
2015-10,2015,10,4,Display,6366.8,1591700,7958,80,15163.19,2.382
2015-10,2015,10,4,Direct,1615.7,0,807,95,21668.46,13.411
2015-11,2015,11,4,Paid Search,19423.56,2427945,84978,2717,567550.04,29.22
2015-11,2015,11,4,Social Media,14391.87,2398645,43175,778,217315.24,15.1
2015-11,2015,11,4,Email,3771.76,0,1885,82,20944.97,5.553
2015-11,2015,11,4,Organic,5041.63,0,2520,59,15266.54,3.028
2015-11,2015,11,4,Display,9412.42,2353105,11765,118,25471.23,2.706
2015-11,2015,11,4,Direct,2083.35,0,1041,122,24297.43,11.663
2015-12,2015,12,4,Paid Search,20200.06,2525007,88375,2824,519313.82,25.709
2015-12,2015,12,4,Social Media,14175.05,2362508,42525,764,210135.08,14.824
2015-12,2015,12,4,Email,3936.86,0,1968,85,20230.76,5.139
2015-12,2015,12,4,Organic,6024.55,0,3012,78,16243.47,2.696
2015-12,2015,12,4,Display,9007.76,2251940,11259,114,31309.6,3.476
2015-12,2015,12,4,Direct,2229.14,0,1114,133,34318.86,15.396
2016-01,2016,1,1,Paid Search,12597.18,1574647,55112,1762,353224.64,28.04
2016-01,2016,1,1,Social Media,7872.36,1312060,23617,422,89952.03,11.426
2016-01,2016,1,1,Email,2245.09,0,1122,49,9168.68,4.084
2016-01,2016,1,1,Organic,3338.4,0,1669,36,9399.16,2.815
2016-01,2016,1,1,Display,5142.98,1285745,6428,63,15709.79,3.055
2016-01,2016,1,1,Direct,1360.07,0,680,82,16003.08,11.766
2016-02,2016,2,1,Paid Search,12760.26,1595032,55826,1786,371929.58,29.147
2016-02,2016,2,1,Social Media,10027.07,1671178,30081,540,104104.81,10.382
2016-02,2016,2,1,Email,2196.01,0,1098,50,9273.17,4.223
2016-02,2016,2,1,Organic,2848.15,0,1424,33,6700.37,2.353
2016-02,2016,2,1,Display,4815.85,1203962,6019,62,16420.24,3.41
2016-02,2016,2,1,Direct,1351.17,0,675,77,16364.77,12.112
2016-03,2016,3,1,Paid Search,14542.84,1817855,63624,2037,403654.77,27.756
2016-03,2016,3,1,Social Media,12252.3,2042050,36756,663,172823.78,14.105
2016-03,2016,3,1,Email,2721.58,0,1360,64,15750.49,5.787
2016-03,2016,3,1,Organic,3731.29,0,1865,46,11542.88,3.094
2016-03,2016,3,1,Display,6108.15,1527037,7635,77,18355.05,3.005
2016-03,2016,3,1,Direct,1576.21,0,788,95,19917.32,12.636
2016-04,2016,4,2,Paid Search,13921.52,1740190,60906,1950,370990.61,26.649
2016-04,2016,4,2,Social Media,12385.49,2064248,37156,672,145775.67,11.77
2016-04,2016,4,2,Email,3184.84,0,1592,73,16510.53,5.184
2016-04,2016,4,2,Organic,4285.61,0,2142,54,13656.5,3.187
2016-04,2016,4,2,Display,6523.82,1630955,8154,80,20856.57,3.197
2016-04,2016,4,2,Direct,1677.29,0,838,99,21142.54,12.605
2016-05,2016,5,2,Paid Search,14224.78,1778097,62233,1993,470761.11,33.094
2016-05,2016,5,2,Social Media,12465.39,2077565,37396,673,146748.84,11.773
2016-05,2016,5,2,Email,2848.41,0,1424,64,16220.44,5.695
2016-05,2016,5,2,Organic,3973.25,0,1986,49,12931.09,3.255
2016-05,2016,5,2,Display,6342.61,1585652,7928,79,16076.29,2.535
2016-05,2016,5,2,Direct,1659.29,0,829,101,23698.95,14.283
2016-06,2016,6,2,Paid Search,15485.72,1935715,67750,2171,578059.25,37.329
2016-06,2016,6,2,Social Media,11930.98,1988496,35792,645,151749.61,12.719
2016-06,2016,6,2,Email,2683.76,0,1341,58,15458.72,5.76
2016-06,2016,6,2,Organic,4025.27,0,2012,49,10241.22,2.544
2016-06,2016,6,2,Display,6090.8,1522700,7613,76,19734.78,3.24
2016-06,2016,6,2,Direct,1688.1,0,844,102,24191.81,14.331
2016-07,2016,7,3,Paid Search,12622.25,1577781,55222,1767,368884.7,29.225
2016-07,2016,7,3,Social Media,10373.68,1728946,31121,558,135108.12,13.024
2016-07,2016,7,3,Email,2312.85,0,1156,54,11904.45,5.147
2016-07,2016,7,3,Organic,3514.62,0,1757,42,10438.86,2.97
2016-07,2016,7,3,Display,5239.8,1309950,6549,64,13913.09,2.655
2016-07,2016,7,3,Direct,1448.24,0,724,87,21501.87,14.847
2016-08,2016,8,3,Paid Search,13887.42,1735927,60757,1941,430578.6,31.005
2016-08,2016,8,3,Social Media,10995.63,1832604,32986,592,123008.88,11.187
2016-08,2016,8,3,Email,2512.91,0,1256,55,15292.03,6.085
2016-08,2016,8,3,Organic,3367.65,0,1683,42,8313.33,2.469
2016-08,2016,8,3,Display,5511.59,1377897,6889,71,17782.34,3.226
2016-08,2016,8,3,Direct,1415.38,0,707,81,17800.66,12.577
2016-09,2016,9,3,Paid Search,14353.21,1794151,62795,2007,458206.07,31.924
2016-09,2016,9,3,Social Media,11512.6,1918766,34537,619,152073.2,13.209
2016-09,2016,9,3,Email,2617.89,0,1308,59,11074.18,4.23
2016-09,2016,9,3,Organic,4163.22,0,2081,50,11995.22,2.881
2016-09,2016,9,3,Display,6278.94,1569735,7848,81,16745.96,2.667
2016-09,2016,9,3,Direct,1723.62,0,861,104,26068.95,15.125
2016-10,2016,10,4,Paid Search,14188.57,1773571,62074,1983,410698.39,28.946
2016-10,2016,10,4,Social Media,12458.54,2076423,37375,674,185129.85,14.86
2016-10,2016,10,4,Email,2793.67,0,1396,62,14803.03,5.299
2016-10,2016,10,4,Organic,4138.9,0,2069,53,11703.2,2.828
2016-10,2016,10,4,Display,6737.65,1684412,8422,84,17246.05,2.56
2016-10,2016,10,4,Direct,1601.65,0,800,97,21330.64,13.318
2016-11,2016,11,4,Paid Search,21758.69,2719836,95194,3045,752864.22,34.601
2016-11,2016,11,4,Social Media,17628.4,2938066,52885,951,179988.68,10.21
2016-11,2016,11,4,Email,3961.72,0,1980,89,19882.79,5.019
2016-11,2016,11,4,Organic,5975.61,0,2987,73,18421.17,3.083
2016-11,2016,11,4,Display,8488.41,2122102,10610,106,25580.89,3.014
2016-11,2016,11,4,Direct,2342.28,0,1171,137,34442.52,14.705
2016-12,2016,12,4,Paid Search,22579.26,2822407,98784,3161,573324.97,25.392
2016-12,2016,12,4,Social Media,17755.73,2959288,53267,957,198176.17,11.161
2016-12,2016,12,4,Email,3858.57,0,1929,90,21660.59,5.614
2016-12,2016,12,4,Organic,5830.45,0,2915,71,19535.58,3.351
2016-12,2016,12,4,Display,9340.31,2335077,11675,117,30688.91,3.286
2016-12,2016,12,4,Direct,2405.71,0,1202,144,28804.06,11.973
2017-01,2017,1,1,Paid Search,13988.15,1748518,61198,1961,497685.6,35.579
2017-01,2017,1,1,Social Media,12017.33,2002888,36051,647,140471.01,11.689
2017-01,2017,1,1,Email,2319.64,0,1159,52,12159.33,5.242
2017-01,2017,1,1,Organic,3662.37,0,1831,44,11859.52,3.238
2017-01,2017,1,1,Display,4882.9,1220725,6103,63,14202.38,2.909
2017-01,2017,1,1,Direct,1393.11,0,696,80,20043.69,14.388
2017-02,2017,2,1,Paid Search,13954.59,1744323,61051,1950,477617.85,34.227
2017-02,2017,2,1,Social Media,10438.64,1739773,31315,562,126108.27,12.081
2017-02,2017,2,1,Email,2414.76,0,1207,52,11913.7,4.934
2017-02,2017,2,1,Organic,3527.92,0,1763,43,10557.25,2.992
2017-02,2017,2,1,Display,5623.69,1405922,7029,68,13331.15,2.371
2017-02,2017,2,1,Direct,1316.61,0,658,80,20913.01,15.884
2017-03,2017,3,1,Paid Search,17145.78,2143222,75012,2398,500987.15,29.219
2017-03,2017,3,1,Social Media,14766.46,2461076,44299,795,184042.95,12.464
2017-03,2017,3,1,Email,2774.62,0,1387,58,12491.98,4.502
2017-03,2017,3,1,Organic,4526.45,0,2263,57,12014.44,2.654
2017-03,2017,3,1,Display,6735.77,1683942,8419,81,18675.64,2.773
2017-03,2017,3,1,Direct,1572.28,0,786,93,21886.35,13.92
2017-04,2017,4,2,Paid Search,16141.44,2017680,70618,2256,599829.06,37.161
2017-04,2017,4,2,Social Media,14537.19,2422865,43611,786,208978.87,14.375
2017-04,2017,4,2,Email,2963.91,0,1481,65,15668.55,5.286
2017-04,2017,4,2,Organic,4759.71,0,2379,60,11875.52,2.495
2017-04,2017,4,2,Display,6252.68,1563170,7815,76,14573.39,2.331
2017-04,2017,4,2,Direct,1750.05,0,875,106,24538.29,14.021
2017-05,2017,5,2,Paid Search,17633.35,2204168,77145,2468,531674.16,30.152
2017-05,2017,5,2,Social Media,14835.45,2472575,44506,800,185537.97,12.506
2017-05,2017,5,2,Email,2849.42,0,1424,61,11332.17,3.977
2017-05,2017,5,2,Organic,4541.23,0,2270,53,10703.64,2.357
2017-05,2017,5,2,Display,6371.22,1592805,7964,79,18619.34,2.922
2017-05,2017,5,2,Direct,1724.84,0,862,100,23409.05,13.572
2017-06,2017,6,2,Paid Search,15274.44,1909305,66825,2140,421942.5,27.624
2017-06,2017,6,2,Social Media,15293.23,2548871,45879,820,218983.21,14.319
2017-06,2017,6,2,Email,2894.55,0,1447,66,12641.6,4.367
2017-06,2017,6,2,Organic,4898.21,0,2449,59,12609.52,2.574
2017-06,2017,6,2,Display,6640.08,1660020,8300,83,16651.89,2.508
2017-06,2017,6,2,Direct,1619.29,0,809,98,19642.3,12.13
2017-07,2017,7,3,Paid Search,14995.22,1874402,65604,2093,380533.36,25.377
2017-07,2017,7,3,Social Media,13243.79,2207298,39731,720,174846.7,13.202
2017-07,2017,7,3,Email,2459.84,0,1229,53,9592.89,3.9
2017-07,2017,7,3,Organic,4134.4,0,2067,52,13707.81,3.316
2017-07,2017,7,3,Display,6419.58,1604895,8024,80,18280.76,2.848
2017-07,2017,7,3,Direct,1544.26,0,772,94,21162.16,13.704
2017-08,2017,8,3,Paid Search,14698.55,1837318,64306,2058,552070.82,37.56
2017-08,2017,8,3,Social Media,12879.56,2146593,38638,693,151616.35,11.772
2017-08,2017,8,3,Email,2596.38,0,1298,57,13348.04,5.141
2017-08,2017,8,3,Organic,4154.73,0,2077,50,10877.34,2.618
2017-08,2017,8,3,Display,5963.06,1490765,7453,73,20419.43,3.424
2017-08,2017,8,3,Direct,1620.78,0,810,93,18787.04,11.591
2017-09,2017,9,3,Paid Search,17381.53,2172691,76044,2430,454097.42,26.125
2017-09,2017,9,3,Social Media,13458.41,2243068,40375,725,182898.49,13.59
2017-09,2017,9,3,Email,2574.91,0,1287,60,10850.18,4.214
2017-09,2017,9,3,Organic,4622.39,0,2311,59,13475.54,2.915
2017-09,2017,9,3,Display,6183.41,1545852,7729,77,14371.77,2.324
2017-09,2017,9,3,Direct,1814.94,0,907,109,28143.36,15.506
2017-10,2017,10,4,Paid Search,18086.33,2260791,79127,2533,587151.44,32.464
2017-10,2017,10,4,Social Media,14980.07,2496678,44940,809,195816.33,13.072
2017-10,2017,10,4,Email,2769.46,0,1384,60,11969.85,4.322
2017-10,2017,10,4,Organic,4525.57,0,2262,57,15436.9,3.411
2017-10,2017,10,4,Display,6708.2,1677050,8385,84,20614.71,3.073
2017-10,2017,10,4,Direct,1808.93,0,904,108,26269.83,14.522
2017-11,2017,11,4,Paid Search,25596.3,3199537,111983,3583,901625.09,35.225
2017-11,2017,11,4,Social Media,19781.98,3296996,59345,1066,225333.94,11.391
2017-11,2017,11,4,Email,4059.57,0,2029,89,19801.17,4.878
2017-11,2017,11,4,Organic,6173.31,0,3086,77,15306.99,2.48
2017-11,2017,11,4,Display,9935.61,2483902,12419,124,27066.7,2.724
2017-11,2017,11,4,Direct,2387.94,0,1193,144,37385.88,15.656
2017-12,2017,12,4,Paid Search,25705.41,3213176,112461,3600,743062.31,28.907
2017-12,2017,12,4,Social Media,19906.85,3317808,59720,1075,228385.02,11.473
2017-12,2017,12,4,Email,4312.47,0,2156,95,23699.09,5.495
2017-12,2017,12,4,Organic,6198.19,0,3099,78,16104.15,2.598
2017-12,2017,12,4,Display,8856.87,2214217,11071,112,28873.88,3.26
2017-12,2017,12,4,Direct,2512.29,0,1256,149,28136.94,11.2
